material,CarbonBlack
material_batch,Test
temperature,77.355
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.000180, 3.806709
0.000510, 7.622622
0.003680, 10.275400
0.010740, 11.017519
0.021570, 11.446242
0.032310, 11.741384
0.043070, 11.987706
0.058510, 12.181731
0.078980, 12.574837
0.095090, 12.778270
0.134780, 13.262099
0.181400, 13.982785
0.232530, 15.461915
0.284600, 16.964979
0.336320, 18.895142
0.436540, 22.075061
0.540990, 24.685462
0.735860, 32.348150
0.842570, 41.384841
0.924300, 60.751365
0.969690, 113.626105
0.980570, 162.983859
0.984660, 212.986229
0.999610, 255.631685
0.999800, 297.277449
0.999900, 341.873753
1.000000, 385.206417
