# Carbopack F Graphitized Carbon Black, Ar, 87 K 
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.108 [cm3(STP)/g], S(BET) = 6.01 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 6.01/3.108 = slope[cm3(STP)/g] * 1.933719
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 859, Amount for a monolayer: n = 7e-05 mol/g
#   Amount for a monolayer: n = 7e-05 / (1/1000/22.414) = 7e-05 / 4.461e-5 = 1.569155 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
1.28E-04, 9.17E-03, 2.85E-02, 6.10E-03
2.49E-04, 0.0184, 5.72E-02, 1.22E-02
3.54E-04, 0.0274, 8.52E-02, 1.82E-02
4.50E-04, 0.0364, 1.13E-01, 2.42E-02
5.38E-04, 0.0456, 1.42E-01, 3.03E-02
6.20E-04, 0.0548, 1.70E-01, 3.65E-02
6.95E-04, 0.0641, 1.99E-01, 4.27E-02
7.65E-04, 0.0735, 2.28E-01, 4.89E-02
8.30E-04, 0.0829, 2.58E-01, 5.52E-02
8.91E-04, 0.0924, 2.87E-01, 6.15E-02
9.49E-04, 0.102, 3.17E-01, 6.79E-02
1.00E-03, 0.111, 3.45E-01, 7.39E-02
1.06E-03, 0.121, 3.76E-01, 8.05E-02
1.11E-03, 0.131, 4.07E-01, 8.72E-02
1.16E-03, 0.14, 4.35E-01, 9.32E-02
1.20E-03, 0.15, 4.66E-01, 9.98E-02
1.25E-03, 0.16, 4.97E-01, 1.06E-01
1.30E-03, 0.169, 5.25E-01, 1.12E-01
1.34E-03, 0.179, 5.56E-01, 1.19E-01
1.39E-03, 0.188, 5.84E-01, 1.25E-01
1.43E-03, 0.198, 6.15E-01, 1.32E-01
1.48E-03, 0.208, 6.46E-01, 1.38E-01
1.52E-03, 0.217, 6.74E-01, 1.44E-01
1.57E-03, 0.227, 7.06E-01, 1.51E-01
1.62E-03, 0.237, 7.37E-01, 1.58E-01
1.67E-03, 0.246, 7.65E-01, 1.64E-01
1.72E-03, 0.256, 7.96E-01, 1.70E-01
1.77E-03, 0.265, 8.24E-01, 1.76E-01
1.83E-03, 0.275, 8.55E-01, 1.83E-01
1.89E-03, 0.284, 8.83E-01, 1.89E-01
1.96E-03, 0.294, 9.14E-01, 1.96E-01
2.03E-03, 0.303, 9.42E-01, 2.02E-01
2.10E-03, 0.312, 9.70E-01, 2.08E-01
2.18E-03, 0.322, 1.00E+00, 2.14E-01
2.27E-03, 0.331, 1.03E+00, 2.20E-01
2.36E-03, 0.34, 1.06E+00, 2.26E-01
2.47E-03, 0.349, 1.08E+00, 2.32E-01
2.58E-03, 0.358, 1.11E+00, 2.38E-01
2.71E-03, 0.366, 1.14E+00, 2.44E-01
2.86E-03, 0.375, 1.17E+00, 2.50E-01
3.02E-03, 0.383, 1.19E+00, 2.55E-01
3.19E-03, 0.391, 1.22E+00, 2.60E-01
3.39E-03, 0.399, 1.24E+00, 2.66E-01
3.62E-03, 0.406, 1.26E+00, 2.70E-01
3.86E-03, 0.414, 1.29E+00, 2.76E-01
4.13E-03, 0.42, 1.31E+00, 2.80E-01
4.44E-03, 0.427, 1.33E+00, 2.84E-01
4.81E-03, 0.434, 1.35E+00, 2.89E-01
5.23E-03, 0.441, 1.37E+00, 2.93E-01
5.69E-03, 0.447, 1.39E+00, 2.97E-01
6.20E-03, 0.452, 1.40E+00, 3.01E-01
6.75E-03, 0.458, 1.42E+00, 3.05E-01
7.55E-03, 0.465, 1.45E+00, 3.09E-01
8.13E-03, 0.469, 1.46E+00, 3.12E-01
8.75E-03, 0.473, 1.47E+00, 3.15E-01
9.40E-03, 0.477, 1.48E+00, 3.17E-01
0.01, 0.48, 1.49E+00, 3.19E-01
0.0113, 0.486, 1.51E+00, 3.23E-01
0.0125, 0.491, 1.53E+00, 3.27E-01
0.015, 0.498, 1.55E+00, 3.31E-01
0.0175, 0.505, 1.57E+00, 3.36E-01
0.0202, 0.511, 1.59E+00, 3.40E-01
0.025, 0.518, 1.61E+00, 3.45E-01
0.0301, 0.525, 1.63E+00, 3.49E-01
0.0351, 0.531, 1.65E+00, 3.53E-01
0.0401, 0.536, 1.67E+00, 3.57E-01
0.0452, 0.541, 1.68E+00, 3.60E-01
0.0501, 0.545, 1.69E+00, 3.63E-01
0.0573, 0.551, 1.71E+00, 3.67E-01
0.0695, 0.56, 1.74E+00, 3.73E-01
0.0793, 0.567, 1.76E+00, 3.77E-01
0.089, 0.573, 1.78E+00, 3.81E-01
0.0987, 0.58, 1.80E+00, 3.86E-01
0.117, 0.591, 1.84E+00, 3.93E-01
0.137, 0.602, 1.87E+00, 4.01E-01
0.156, 0.616, 1.91E+00, 4.10E-01
0.176, 0.633, 1.97E+00, 4.21E-01
0.195, 0.649, 2.02E+00, 4.32E-01
0.215, 0.671, 2.09E+00, 4.47E-01
0.235, 0.694, 2.16E+00, 4.62E-01
0.256, 0.719, 2.23E+00, 4.79E-01
0.276, 0.746, 2.32E+00, 4.96E-01
0.297, 0.778, 2.42E+00, 5.18E-01
0.317, 0.817, 2.54E+00, 5.44E-01
0.337, 0.861, 2.68E+00, 5.73E-01
0.36, 0.914, 2.84E+00, 6.08E-01
0.381, 0.959, 2.98E+00, 6.38E-01
0.4, 1, 3.11E+00, 6.66E-01
